frame,x_raw,y_raw,r,sig_raw,peak,mass,mean,std,A,x,y,sig_x,sig_y,phi,area,dist_err,sigx_to_sigraw,sigy_to_sigraw,particle,delta_area,D,alpha,dist_to_boundary,dist_to_53bp1,sort_flag_boundary,sort_flag_53bp1
0,500,525,4,4,163,7963,98.3086419753086,34.3783027954267,165.584664264044,500.4845899068,524.681133548321,3.35893696006444,3.46211831860428,1.90010217775429,36.5336977745062,0.580088951608792,0.83973424001611,0.86552957965107,0,0,61128.7878691989,0.893718815291557,-69,-3,True,False
1,500,524,4,4,166,8480,104.691358024691,32.8816215601873,166.986493399847,500.452860236508,523.750771910418,3.4592486045577,3.81052437538189,-3.25574654915155,41.4110641871863,0.516911050807641,0.864812151139425,0.952631093845472,0,0.133503223319584,61128.7878691989,0.893718815291557,-69,-6,True,False
2,500,524,4,4,170,8749,108.012345679012,33.9387588717833,172.426124313467,499.9945897882,523.517549266768,3.68243844386766,3.55816405101003,33.5589677674012,41.1634091800146,0.482481067388395,0.920609610966916,0.889541012752507,0,0.005980406735076,61128.7878691989,0.893718815291557,-69,-6,True,False
3,499,524,4,4,177,8602,106.197530864198,37.3298344104718,179.566703938166,499.439903584201,523.780785746952,3.41823435528274,3.36079970657766,-0.403988221917277,36.0906196033597,0.491497764116742,0.854558588820686,0.840199926644416,0,0.1232354092556,61128.7878691989,0.893718815291557,-69,-3,True,False
4,500,525,4,4,166,8314,102.641975308642,32.6251847890232,165.972072476544,499.75517843205,524.758859639114,3.64208898320338,3.46562686846406,0.012827877431691,39.6535639808518,0.343636834145602,0.910522245800846,0.866406717116015,0,0.098722172593578,61128.7878691989,0.893718815291557,-69,-3,True,False
5,500,525,4,4,168,8643,106.703703703704,32.6002516253428,169.598410197308,499.983107578745,524.892990738775,3.3849103026996,3.87999962331893,-3.64127154508874,41.2599522336533,0.108334370740954,0.846227575674901,0.969999905829733,0,0.040510564285652,61128.7878691989,0.893718815291557,-69,-6,True,False
6,501,525,4,4,170,8539,105.41975308642,34.469834440548,173.145182992722,500.981704835083,524.939028185991,3.59164745377701,3.37319381846988,-0.743727889307474,38.0614096987499,0.063657483164836,0.897911863444252,0.84329845461747,0,0.077521721711897,61128.7878691989,0.893718815291557,-69,-6,True,False
7,501,526,4,4,166,8183,101.024691358025,34.7420744345506,168.756309626174,501.36244503051,525.79347110965,3.3283617025578,3.53488045440127,-1.02154903214492,36.9619708285028,0.417157743174576,0.832090425639451,0.883720113600318,0,0.028885920909102,61128.7878691989,0.893718815291557,-69,-3,True,False
8,501,526,4,4,172,8733,107.814814814815,35.6131863188415,176.613221584629,501.238959379869,525.655591096613,3.38329953866088,3.64161309787495,-0.211577038039914,38.7065198060102,0.419188594739185,0.845824884665219,0.910403274468738,0,0.047198483695627,61128.7878691989,0.893718815291557,-69,-3,True,False
9,502,526,4,4,174,8482,104.716049382716,35.4544515890324,174.603219514939,501.724713021059,525.980985298277,3.28876155366745,3.57583216693035,-3.58732227591043,36.9453160690638,0.27594289201997,0.822190388416861,0.893958041732587,0,0.045501474836104,61128.7878691989,0.893718815291557,-66,-6,True,False
